#{"t_start": 1621755081.255773, "env_id": "GazeboMarsLsdForce-Lidar-v0"}
r,l,t
-50,741,26.047072
100,735,59.05536
100,713,105.855292
100,785,137.670498
100,771,170.023474
100,753,216.382904
100,783,259.600526
100,799,292.239476
100,824,325.135053
100,725,373.188023
100,761,419.959181
100,786,467.54774
100,727,500.07478
100,803,532.255782
100,792,564.876723
100,863,612.867584
100,775,646.483508
100,766,690.374119
100,750,735.627406
100,803,780.659479
100,761,813.306995
100,801,856.736036
100,733,889.345553
100,805,921.48401
100,702,966.154084
100,864,998.132127
100,758,1031.333217
100,709,1063.318969
100,715,1094.81179
100,710,1126.676888
100,773,1170.132192
100,793,1215.627025
100,763,1248.251421
100,796,1293.858776
100,766,1326.273233
100,730,1358.318045
100,722,1402.361815
100,761,1446.434328
100,732,1489.850909
100,708,1521.732431
100,814,1566.355654
100,756,1611.13301
100,717,1655.488783
100,827,1687.343607
100,785,1733.511218
100,638,1765.358347
100,722,1796.046789
100,695,1841.977992
100,799,1873.816103
100,680,1905.947355
100,708,1937.319327
100,798,1980.894844
100,751,2035.076666
100,675,2067.028943
100,763,2109.0142
100,693,2141.405927
100,767,2185.341954
100,764,2218.231544
100,770,2260.610454
100,743,2306.298976
100,777,2349.262107
100,792,2382.086409
100,812,2427.185622
100,787,2460.351222
100,679,2492.959209
100,765,2536.103567
100,719,2583.470819
100,748,2616.023623
100,754,2648.855508
100,784,2694.244608
100,784,2727.609629
100,826,2772.786914
100,712,2806.398985
100,734,2851.412889
100,842,2884.65901
100,728,2919.06282
100,701,2951.7584
100,758,2984.415601
100,747,3030.813712
100,746,3063.880672
100,762,3096.97687
100,700,3143.228556
100,784,3176.122417
100,771,3210.020009
100,784,3244.156937
100,785,3279.046471
100,749,3313.471506
100,740,3360.265693
100,733,3394.055965
100,715,3442.887037
100,754,3476.810483
100,796,3511.578874
100,742,3546.352159
100,692,3580.082336
100,827,3628.682506
100,776,3664.647111
100,757,3713.914692
100,803,3764.75545
100,829,3819.993939
100,770,3874.506845
100,767,3912.04323
100,812,3965.599019
100,733,4004.362846
100,763,4041.733461
100,762,4079.22766
100,797,4132.063454
100,793,4180.503312
100,833,4230.77089
100,735,4280.843959
100,689,4316.075029
100,788,4360.689677
100,817,4397.361849
100,809,4434.623226
100,814,4471.411464
100,728,4525.687484
100,754,4576.080633
100,657,4611.318725
100,757,4645.180738
100,824,4695.051003
100,782,4732.308492
100,783,4780.779705
100,803,4830.906074
100,736,4867.755534
100,702,4902.87592
100,743,4952.521542
100,740,4988.652973
100,747,5024.007917
100,712,5075.246711
100,728,5110.408629
100,761,5161.622298
100,696,5211.206341
100,697,5256.915288
100,851,5306.138847
100,742,5343.844861
100,780,5394.629845
100,722,5431.029619
100,724,5480.601902
100,764,5529.458872
100,830,5566.405958
100,760,5619.360465
100,760,5655.746757
100,728,5707.253694
100,735,5756.344407
100,688,5791.771445
100,770,5839.972299
100,778,5876.886754
100,721,5913.222458
100,734,5962.49868
100,774,5998.481051
100,681,6034.295803
100,743,6080.445988
100,749,6116.360069
100,792,6152.662659
100,861,6203.827631
100,750,6257.936586
100,773,6309.676663
100,732,6360.778919
100,779,6412.697708
100,820,6463.274583
100,679,6500.214283
100,785,6535.04204
100,762,6586.629856
100,778,6623.072762
100,748,6660.075934
100,725,6696.003675
100,699,6731.702983
100,729,6780.046945
100,789,6815.999779
100,781,6853.102248
100,740,6889.779278
100,710,6936.357461
100,854,6984.222563
100,834,7036.078649
100,795,7073.860904
100,810,7111.075464
100,745,7163.64279
100,812,7200.068804
100,792,7251.425947
100,778,7288.521854
100,724,7338.008098
100,806,7374.302085
100,799,7427.703457
100,681,7478.229083
100,765,7522.898129
100,775,7577.174902
100,784,7619.022194
100,769,7656.959478
100,733,7694.658486
100,787,7746.107457
100,679,7783.275215
100,747,7832.357194
100,808,7885.305125
100,704,7940.378486
100,703,7976.468724
100,795,8013.232659
100,784,8051.52506
100,697,8088.902761
100,804,8125.919257
100,814,8179.552622
100,762,8237.042212
100,763,8274.323282
100,797,8327.709421
100,783,8384.555044
100,750,8421.992452
100,749,8459.280643
100,762,8496.465754
100,704,8548.970573
100,791,8585.808786
100,716,8623.842843
100,778,8674.398878
100,785,8728.356759
100,803,8766.687481
100,846,8805.361131
100,757,8861.711195
100,770,8912.917109
100,699,8950.494809
100,786,8987.292295
100,735,9040.732608
100,701,9077.06143
100,701,9113.060995
100,783,9149.512394
100,722,9186.980955
100,703,9237.933011
100,821,9287.33856
100,794,9341.707869
100,723,9394.194306
100,782,9446.77341
100,782,9484.985543
100,857,9523.325153
100,732,9562.135098
100,728,9599.076858
100,798,9651.210711
100,721,9688.703506
100,827,9725.348956
100,727,9763.275019
100,732,9799.808632
100,823,9836.643498
100,720,9888.577297
100,752,9924.830511
100,729,9973.402715
100,748,10009.590229
100,743,10046.734691
100,804,10083.634397
100,792,10138.127294
100,770,10190.046878
100,904,10240.373445
100,754,10279.658489
100,743,10328.931163
100,847,10383.48257
100,674,10421.670812
100,669,10456.669487
100,740,10506.28822
100,800,10543.035381
100,794,10597.253273
100,850,10651.426631
100,772,10706.085342
100,702,10742.956925
100,705,10792.102659
100,675,10827.720316
100,756,10863.175926
100,737,10899.705651
100,668,10935.843625
100,785,10984.627526
100,822,11022.548641
100,738,11076.035039
100,732,11125.524682
100,752,11162.235885
100,696,11198.55089
100,645,11237.382732
100,736,11294.939141
100,682,11334.650447
100,719,11393.734784
100,781,11453.210893
100,706,11494.343815
100,803,11556.489949
100,681,11597.467268
100,703,11636.014981
100,746,11675.418204
100,727,11715.501806
100,815,11778.823831
100,744,11820.590404
100,720,11879.675462
100,692,11938.358903
100,652,11999.52275
100,728,12037.727467
100,718,12076.705729
100,701,12117.076626
100,774,12157.096668
100,691,12198.295177
100,695,12237.389567
100,718,12276.659035
100,698,12316.172662
100,671,12354.633345
100,752,12414.886013
100,778,12455.523848
100,764,12525.536332
100,723,12566.703001
100,700,12630.78064
100,790,12671.234577
100,724,12736.026958
100,707,12776.025111
100,776,12838.483328
100,715,12878.610819
100,718,12919.286363
100,761,12980.710267
100,707,13047.049431
100,767,13085.887129
100,651,13126.411541
100,794,13187.395458
100,781,13253.773839
100,688,13294.814079
100,754,13334.056224
100,747,13402.021352
100,677,13461.90041
100,689,13520.209577
100,697,13580.438649
100,687,13645.498349
100,686,13707.326661
100,702,13769.905203
100,705,13809.459668
100,729,13872.25841
100,727,13936.756767
100,604,13974.837724
100,772,14011.762367
100,699,14052.174593
100,722,14090.443314
100,655,14128.60087
100,716,14188.450471
100,739,14227.462186
100,776,14267.077823
100,722,14331.47659
100,749,14389.294138
100,886,14455.674558
100,753,14526.236934
100,705,14566.88066
100,800,14629.250904
100,798,14697.993021
100,774,14760.664994
100,630,14800.214164
100,742,14859.329281
100,722,14921.022651
100,639,14959.223137
100,691,14996.497242
100,623,15052.677211
100,688,15109.312654
100,711,15148.620054
100,769,15214.410029
100,791,15256.097683
100,713,15321.214471
100,733,15382.385586
100,694,15422.765911
100,772,15462.303472
100,665,15503.106081
100,691,15563.626004
100,664,15601.975458
100,759,15659.742073
100,743,15726.490549
100,732,15766.682189
100,629,15806.49786
100,761,15864.50251
100,624,15905.222151
100,852,15944.041592
100,726,15986.532426
100,739,16026.34465
100,685,16066.701996
100,774,16128.226212
100,718,16195.02743
100,705,16261.542324
100,744,16321.975121
100,786,16385.354268
100,690,16427.737556
100,704,16466.552591
100,692,16506.169608
100,711,16544.940694
100,767,16605.927013
100,644,16645.406995
100,710,16683.247033
100,793,16743.54272
100,671,16808.055465
100,764,16846.384489
100,680,16886.25289
100,646,16923.474495
100,776,16983.7311
100,706,17025.481751
100,636,17064.009578
100,732,17102.995489
100,737,17163.946763
100,751,17203.543687
100,757,17274.603302
100,758,17315.090849
100,668,17355.445037
100,690,17394.213512
100,774,17433.959947
100,766,17504.891497
100,617,17546.096802
100,776,17594.380683
100,741,17635.18034
100,733,17700.447501
100,727,17761.520756
100,719,17814.742552
100,798,17865.762178
100,736,17920.801916
100,806,17975.605462
100,784,18030.848829
100,710,18068.014634
100,785,18104.33245
100,707,18141.64695
100,759,18178.303719
100,765,18229.924465
100,821,18281.783137
100,700,18320.090833
100,841,18370.024152
100,770,18428.862723
100,729,18466.316658
100,683,18518.092518
100,709,18566.463533
100,772,18616.295964
100,827,18671.49669
100,770,18709.984985
100,774,18747.9608
100,740,18785.764877
100,761,18837.706732
100,820,18889.478241
100,731,18927.789242
100,753,18982.066226
100,765,19019.502435
100,797,19057.096376
100,740,19111.331501
100,730,19147.907916
100,836,19184.968285
100,751,19223.975203
100,733,19260.95665
100,786,19310.523077
100,788,19364.525657
100,742,19402.453149
100,877,19439.902874
100,738,19479.661525
100,790,19531.955873
100,720,19569.469788
100,841,19606.403517
100,795,19645.261686
100,717,19682.94052
100,744,19731.435542
100,787,19782.702651
100,744,19819.99498
100,740,19856.815905
100,680,19893.008819
100,805,19940.407401
100,696,19977.914771
100,739,20013.708669
100,704,20049.998738
100,799,20086.681117
100,791,20124.895633
100,839,20176.583835
100,726,20215.280496
100,810,20266.713094
100,736,20304.473904
100,737,20354.970468
100,756,20391.446808
100,730,20428.453462
100,818,20465.522529
100,826,20519.202389
100,738,20574.121085
100,764,20624.510792
100,726,20661.806168
100,808,20711.411056
100,769,20749.700706
100,739,20787.346722
100,717,20823.896834
100,810,20875.355481
100,721,20928.39268
100,826,20979.514353
100,784,21017.822399
100,699,21069.217629
100,765,21115.702885
100,774,21166.668172
100,715,21204.345334
100,783,21240.693197
100,783,21278.28261
100,775,21330.107465
100,758,21367.590778
100,800,21404.769109
100,803,21457.130694
100,849,21495.952484
100,791,21550.638864
100,702,21588.2823
100,769,21637.308532
100,745,21674.763785
100,722,21726.07067
100,705,21776.25813
100,707,21827.577728
100,765,21876.20854
100,782,21934.634758
100,722,21986.28513
100,727,22042.135026
100,694,22078.508145
100,696,22114.086797
100,738,22150.386397
100,766,22187.405398
100,778,22225.075629
100,814,22278.797626
100,741,22316.738178
100,734,22353.553636
100,702,22389.697854
100,791,22439.340777
100,843,22493.64211
100,793,22550.045126
100,785,22588.160627
100,737,22637.886151
100,814,22691.758561
100,767,22730.01817
100,823,22784.159091
100,797,22838.573188
100,810,22892.270931
100,782,22930.614926
100,712,22968.178776
100,762,23020.831343
100,742,23072.745437
100,775,23124.515413
100,801,23178.259461
100,743,23216.483929
100,706,23266.261214
100,818,23302.848791
100,655,23340.222111
100,730,23386.974799
100,732,23435.659222
100,736,23472.533693
100,813,23523.252606
100,697,23576.653408
100,754,23624.303454
100,738,23676.705796
100,665,23713.094588
100,766,23748.953503
100,756,23800.431059
100,777,23852.531903
100,751,23890.008729
100,786,23943.435042
100,776,23981.317393
100,834,24019.450915
100,811,24075.159073
100,713,24112.948221
100,710,24163.443522
100,757,24199.886731
100,739,24253.107704
100,769,24290.080963
100,726,24327.174233
100,807,24364.407158
100,811,24403.127928
100,783,24441.258179
100,805,24479.385431
100,795,24517.699537
100,831,24555.652747
100,745,24612.319461
100,786,24663.581786
100,821,24716.000543
100,736,24770.376749
100,695,24819.817058
100,751,24855.918617
100,795,24907.878713
100,768,24964.681563
100,677,25002.21345
100,705,25050.38937
100,731,25102.349682
100,761,25138.857539
100,830,25177.064153
100,777,25216.066994
100,753,25254.112757
100,841,25291.77923
100,869,25331.549576
100,738,25391.539455
100,793,25443.678777
100,803,25482.1019
100,769,25539.726975
100,770,25592.729607
100,811,25631.25177
100,739,25669.415119
100,827,25706.727518
100,846,25745.597393
100,811,25800.724768
100,741,25838.87728
100,709,25875.840897
100,748,25911.925617
100,812,25966.658881
100,779,26004.999526
100,812,26056.293812
100,769,26109.929099
100,712,26147.504968
100,732,26201.365277
100,748,26252.570756
100,747,26290.016694
100,751,26327.325495
100,693,26378.194465
100,812,26426.623869
100,778,26480.259762
100,672,26517.868664
100,785,26568.67493
100,753,26624.055443
100,771,26661.389168
100,798,26699.282504
100,734,26737.066764
100,805,26789.928169
100,814,26828.678587
100,742,26866.999482
100,749,26904.448794
100,861,26942.086474
100,793,27000.94921
100,781,27054.853416
100,829,27106.200874
100,789,27145.107258
100,754,27201.186907
100,763,27242.506997
100,717,27280.27424
100,755,27316.897847
100,779,27354.747255
100,802,27393.088845
100,700,27431.102916
100,702,27467.174409
100,726,27503.872794
100,759,27557.379536
100,752,27595.677135
100,747,27646.29014
100,816,27696.27373
100,724,27749.97083
100,702,27785.987522
100,734,27821.802532
100,740,27858.368855
100,874,27895.738759
100,721,27949.06176
100,821,27985.557456
100,823,28024.059782
100,700,28076.341784
100,760,28112.474897
100,755,28162.001689
100,770,28214.867264
100,782,28252.517787
100,762,28290.047005
100,805,28327.574052
100,691,28379.123126
100,752,28427.905856
100,773,28480.671122
100,761,28530.399527
100,749,28567.583087
100,772,28617.199493
100,821,28673.884535
100,841,28712.28746
100,805,28750.929511
100,738,28788.856208
100,777,28840.810832
100,809,28895.453777
100,767,28950.607974
100,714,29003.360896
100,747,29039.828039
100,843,29090.263309
100,697,29128.820141
100,803,29179.23367
100,694,29233.855464
100,803,29285.274071
100,785,29323.33295
100,810,29360.933085
100,773,29399.290823
100,784,29437.023504
100,727,29474.104813
100,762,29523.187301
100,768,29573.514895
100,783,29624.263452
100,730,29676.281654
100,755,29713.15807
100,772,29764.79723
100,720,29817.623124
100,854,29867.594873
100,753,29922.272799
100,736,29973.092055
100,790,30010.428482
100,701,30062.952548
100,775,30099.307976
100,790,30137.296433
100,819,30190.178754
100,874,30245.189499
100,858,30299.483258
100,806,30338.542915
100,771,30391.997766
100,833,30445.35505
100,634,30483.487463
